,precision,recall,f1-score,support
0,0.945273631840796,0.9644670050761421,0.9547738693467337,197.0
1,0.75,0.65625,0.7,32.0
accuracy,0.9213973799126638,0.9213973799126638,0.9213973799126638,0.9213973799126638
macro avg,0.847636815920398,0.8103585025380711,0.8273869346733669,229.0
weighted avg,0.9179864867800736,0.9213973799126638,0.9191722806170591,229.0
