,precision,recall,f1-score,support
0,0.9362745098039216,0.9695431472081218,0.9526184538653366,197.0
1,0.76,0.59375,0.6666666666666666,32.0
accuracy,0.9170305676855895,0.9170305676855895,0.9170305676855895,0.9170305676855895
macro avg,0.8481372549019608,0.781646573604061,0.8096425602660016,229.0
weighted avg,0.9116422638924565,0.9170305676855895,0.9126601255231644,229.0
