,precision,recall,f1-score,support
0,0.9567567567567568,0.8984771573604061,0.9267015706806283,197.0
1,0.5454545454545454,0.75,0.631578947368421,32.0
accuracy,0.8777292576419214,0.8777292576419214,0.8777292576419214,0.8777292576419214
macro avg,0.7511056511056511,0.8242385786802031,0.7791402590245247,229.0
weighted avg,0.8992822119459672,0.8777292576419214,0.8854617281217173,229.0
